County,FIPS,Value (Dollars),Rank within US (of 3142 counties)
"Georgia",13000,"86,169","34 of 52"
"United States",00000,"92,646","N/A"
"Randolph County",13243,"34,813","3,137"
"Ben Hill County",13017,"42,861","3,120"
"Taliaferro County",13265,"45,903","3,099"
"Wheeler County",13309,"46,926","3,084"
"Jenkins County",13165,"47,541","3,080"
"Baker County",13007,"48,634","3,072"
"Taylor County",13269,"49,837","3,055"
"Chattahoochee County",13053,"49,909","3,054"
"Chattooga County",13055,"50,661","3,039"
"Warren County",13301,"50,690","3,038"
"Lanier County",13173,"50,740","3,036"
"Atkinson County",13003,"51,037","3,025"
"Telfair County",13271,"52,008","3,004"
"Jeff Davis County",13161,"52,236","2,996"
"Macon County",13193,"52,301","2,992"
"Clay County",13061,"53,750","2,967"
"Emanuel County",13107,"53,973","2,963"
"Appling County",13001,"54,028","2,961"
"Dougherty County",13095,"54,050","2,960"
"Cook County",13075,"54,115","2,958"
"Stewart County",13259,"54,302","2,952"
"Webster County",13307,"54,420","2,948"
"Pulaski County",13235,"54,886","2,940"
"Ware County",13299,"55,183","2,934"
"Charlton County",13049,"55,237","2,933"
"Sumter County",13261,"55,352","2,930"
"Turner County",13287,"55,661","2,925"
"Decatur County",13087,"55,947","2,912"
"Jefferson County",13163,"55,988","2,910"
"Dodge County",13091,"56,029","2,907"
"Mitchell County",13205,"56,060","2,905"
"Calhoun County",13037,"56,071","2,903"
"Bacon County",13005,"56,098","2,901"
"Wilkinson County",13319,"56,607","2,883"
"Johnson County",13167,"56,800","2,876"
"Early County",13099,"57,030","2,870"
"Hancock County",13141,"57,070","2,866"
"Colquitt County",13071,"57,859","2,844"
"Talbot County",13263,"58,125","2,838"
"Coffee County",13069,"58,229","2,836"
"Laurens County",13175,"59,173","2,784"
"Washington County",13303,"59,175","2,783"
"Quitman County",13239,"59,500","2,763"
"Terrell County",13273,"59,698","2,751"
"Brantley County",13025,"60,170","2,715"
"Burke County",13033,"60,368","2,706"
"Seminole County",13253,"60,408","2,704"
"Wilcox County",13315,"60,503","2,697"
"Brooks County",13027,"60,873","2,685"
"Crisp County",13081,"60,927","2,679"
"Richmond County",13245,"60,993","2,676"
"Liberty County",13179,"61,242","2,664"
"Berrien County",13019,"61,384","2,657"
"Fannin County",13111,"61,406","2,654"
"Upson County",13293,"61,466","2,652"
"Toombs County",13279,"61,847","2,625"
"Elbert County",13105,"62,043","2,610"
"Meriwether County",13199,"62,272","2,605"
"Clayton County",13063,"62,391","2,594"
"Bleckley County",13023,"62,701","2,579"
"Evans County",13109,"63,064","2,565"
"Grady County",13131,"63,193","2,555"
"McDuffie County",13189,"63,287","2,552"
"Candler County",13043,"63,571","2,540"
"Franklin County",13119,"63,774","2,527"
"Treutlen County",13283,"63,950","2,517"
"Lincoln County",13181,"63,958","2,516"
"Wayne County",13305,"64,219","2,503"
"Marion County",13197,"64,722","2,469"
"Tift County",13277,"64,812","2,465"
"Bibb County",13021,"64,826","2,462"
"Stephens County",13257,"65,032","2,448"
"Tattnall County",13267,"65,191","2,442"
"Worth County",13321,"65,361","2,436"
"Pierce County",13229,"65,653","2,419"
"Wilkes County",13317,"65,707","2,413"
"Montgomery County",13209,"66,419","2,363"
"Jasper County",13159,"66,441","2,360"
"Long County",13183,"67,071","2,319"
"Walker County",13295,"67,163","2,314"
"Gordon County",13129,"67,549","2,281"
"Clinch County",13065,"67,713","2,268"
"Irwin County",13155,"68,065","2,250"
"McIntosh County",13191,"68,307","2,238"
"Polk County",13233,"68,486","2,225"
"Schley County",13249,"68,517","2,223"
"Spalding County",13255,"68,566","2,217"
"Echols County",13101,"68,750","2,208"
"Miller County",13201,"68,849","2,203"
"Towns County",13281,"69,016","2,192"
"Troup County",13285,"69,126","2,187"
"Whitfield County",13313,"69,315","2,174"
"Murray County",13213,"69,618","2,146"
"Muscogee County",13215,"69,623","2,145"
"Dade County",13083,"69,846","2,116"
"Screven County",13251,"70,292","2,088"
"Crawford County",13079,"70,483","2,079"
"Butts County",13035,"70,592","2,073"
"Madison County",13195,"70,895","2,047"
"Heard County",13149,"71,516","1,991"
"Dooly County",13093,"71,646","1,980"
"Rabun County",13241,"71,985","1,949"
"Lowndes County",13185,"72,081","1,942"
"Floyd County",13115,"72,134","1,933"
"Bulloch County",13031,"72,633","1,891"
"Twiggs County",13289,"73,500","1,824"
"Thomas County",13275,"73,611","1,809"
"Habersham County",13137,"74,176","1,775"
"Glascock County",13125,"74,680","1,740"
"Baldwin County",13009,"74,684","1,739"
"Clarke County",13059,"75,254","1,698"
"Newton County",13217,"75,725","1,662"
"Camden County",13039,"76,688","1,577"
"Rockdale County",13247,"76,750","1,565"
"Hart County",13147,"77,241","1,524"
"Haralson County",13143,"78,070","1,463"
"Gilmer County",13123,"78,531","1,430"
"Union County",13291,"79,438","1,368"
"Carroll County",13045,"79,624","1,357"
"Catoosa County",13047,"79,712","1,352"
"Banks County",13011,"79,983","1,327"
"Oglethorpe County",13221,"79,990","1,326"
"Putnam County",13237,"80,052","1,318"
"Peach County",13225,"80,095","1,317"
"Jones County",13169,"80,876","1,261"
"Lumpkin County",13187,"81,180","1,230"
"Chatham County",13051,"81,441","1,207"
"Glynn County",13127,"81,669","1,184"
"White County",13311,"82,535","1,130"
"Barrow County",13013,"82,933","1,101"
"Lamar County",13171,"83,303","1,065"
"Pickens County",13227,"85,424","950"
"Douglas County",13097,"86,053","906"
"Hall County",13139,"86,127","901"
"Bartow County",13015,"87,480","834"
"Henry County",13151,"88,355","791"
"Greene County",13133,"89,840","715"
"Walton County",13297,"91,328","636"
"Houston County",13153,"91,406","630"
"Jackson County",13157,"91,750","617"
"Effingham County",13103,"92,126","592"
"Monroe County",13207,"92,679","575"
"Morgan County",13211,"93,601","545"
"Lee County",13177,"94,150","524"
"Gwinnett County",13135,"94,411","511"
"DeKalb County",13089,"97,842","410"
"Paulding County",13223,"98,072","404"
"Harris County",13145,"99,819","369"
"Pike County",13231,"100,891","341"
"Dawson County",13085,"101,924","315"
"Bryan County",13029,"102,302","308"
"Coweta County",13077,"105,403","258"
"Columbia County",13073,"106,774","239"
"Cherokee County",13057,"113,750","169"
"Cobb County",13067,"114,362","163"
"Fulton County",13121,"115,353","150"
"Fayette County",13113,"122,500","105"
"Oconee County",13219,"133,014","53"
"Forsyth County",13117,"144,747","29"

Suggested Citation:
HDPulse: An Ecosystem of Minority Health and Health Disparities Resources. National Institute on Minority Health and Health Disparities. Created 1/10/2025. Available from https://hdpulse.nimhd.nih.gov

Notes:
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Income (Median family income), see the dictionary at http://hdpulse.nimhd.nih.gov/dictionary.php#income."
"Median Incomes over 250,000 have been coded to 250,001 by the Census Bureau. [ http://www2.census.gov/acs2012_5yr/summaryfile/ACS_2008-2012_SF_Tech_Doc.pdf ]"
